id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
145760,1070,012-06,2910720,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145824,1075,012-02,2916739,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145760,1070,012-06,2910720,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145824,1075,012-02,2916739,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145824,1075,012-02,2916739,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913644,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145744,1059,012-03,2914567,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145760,1070,012-06,2910720,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145829,1080,012-08,2915461,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145742,1057,012-04,2911881,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145757,1067,012-01,2910967,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145832,1083,012-05,2910375,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145824,1075,012-02,2916740,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145756,1066,012-07,2913645,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145829,1080,012-08,2915462,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145829,1080,012-08,2915462,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145744,1059,012-03,2914568,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
145832,1083,012-05,2910376,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145824,1075,012-02,2916741,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
145744,1059,012-03,2914569,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
