id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
141539,1054,012-04,2871825,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod³ogowy,12
145832,1083,012-05,2864481,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
141567,1174,012-11,2869275,Waggonfabrik  Uerdingen  A.G.,N8C-MF18,1981,Pojazd cz?ciowo niskopod³ogowy,10
145828,1079,012-13,2867239,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
141566,1173,012-12,2875499,Waggonfabrik  Uerdingen  A.G.,N8C-MF18,1981,Pojazd cz?ciowo niskopod³ogowy,10
145754,1064,012-03,2862842,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
141568,1175,012-14,2869603,Waggonfabrik  Uerdingen  A.G.,N8C-AC2,1981,Pojazd cz?ciowo niskopod³ogowy,10
145831,1082,012-07,2869833,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
145746,1061,012-15,2870524,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
141561,1168,012-08,2871134,Waggonfabrik  Uerdingen  A.G.,N8C-AC2,1981,Pojazd cz?ciowo niskopod³ogowy,10
141536,1051,012-01,2866938,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod³ogowy,12
145833,1084,012-09,2873735,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
502,1152,012-02,2871693,Waggonfabrik  Uerdingen  A.G.,N8C-AC1,1983,Pojazd cz?ciowo niskopod³ogowy,10
145756,1066,012-10,2871535,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
145754,1064,012-03,2862843,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
