trip,stop,timestamp,delay,variant,status
2932788,14825,2022-04-11 04:39:00,None,T201R12,SCHEDULED
2932788,14827,2022-04-11 04:42:00,None,T201R12,SCHEDULED
2932788,14821,2022-04-11 04:44:00,None,T201R12,SCHEDULED
2944264,14825,2022-04-11 18:21:39,39,T201R12,REALTIME
2944264,14827,2022-04-11 18:25:41,101,T201R12,REALTIME
2944264,14821,2022-04-11 18:28:22,142,T201R12,REALTIME
2944264,14819,2022-04-11 18:28:54,114,T201R12,REALTIME
2944264,14818,2022-04-11 18:30:12,132,T201R12,REALTIME
2944264,14815,2022-04-11 18:31:26,146,T201R12,REALTIME
2944264,14547,2022-04-11 18:32:08,128,T201R12,REALTIME
2944264,14546,2022-04-11 18:33:44,104,T201R12,REALTIME
2944264,14540,2022-04-11 18:36:27,147,T201R12,REALTIME
2944264,14538,2022-04-11 18:37:28,148,T201R12,REALTIME
2944264,14536,2022-04-11 18:40:13,193,T201R12,REALTIME
2944445,14825,2022-04-11 18:41:06,6,T201R12,REALTIME
2944264,2150,2022-04-11 18:42:53,173,T201R12,REALTIME
2944445,14827,2022-04-11 18:44:01,1,T201R12,REALTIME
2944264,2148,2022-04-11 18:44:28,208,T201R12,REALTIME
2944264,2146,2022-04-11 18:45:10,190,T201R12,REALTIME
2944445,14821,2022-04-11 18:46:30,30,T201R12,REALTIME
2944264,2144,2022-04-11 18:46:08,188,T201R12,REALTIME
2944264,2142,2022-04-11 18:47:02,182,T201R12,REALTIME
2944445,14819,2022-04-11 18:47:10,10,T201R12,REALTIME
2944445,14818,2022-04-11 18:48:09,9,T201R12,REALTIME
2944264,2140,2022-04-11 18:49:15,195,T201R12,REALTIME
2944445,14815,2022-04-11 18:49:47,47,T201R12,REALTIME
2944264,202,2022-04-11 19:40:00,1140,T201R12,REALTIME
2944445,14547,2022-04-11 18:50:34,34,T201R12,REALTIME
2944445,14546,2022-04-11 18:52:01,1,T201R12,REALTIME
2944264,2138,2022-04-11 18:54:49,349,T201R12,REALTIME
2944445,14540,2022-04-11 18:54:00,None,T201R12,SCHEDULED
2944445,14538,2022-04-11 18:55:00,None,T201R12,SCHEDULED
2944264,2001,2022-04-11 18:55:40,280,T201R12,REALTIME
2944445,14536,2022-04-11 18:57:00,None,T201R12,SCHEDULED
2944264,2005,2022-04-11 18:58:02,242,T201R12,REALTIME
2944264,2007,2022-04-11 18:58:46,226,T201R12,REALTIME
2944445,2150,2022-04-11 19:00:00,None,T201R12,SCHEDULED
2944264,2009,2022-04-11 19:00:05,245,T201R12,REALTIME
2944737,14825,2022-04-11 19:01:01,1,T201R12,REALTIME
2944445,2148,2022-04-11 19:01:00,None,T201R12,SCHEDULED
2944445,2146,2022-04-11 19:02:00,None,T201R12,SCHEDULED
2944264,2011,2022-04-11 19:02:03,243,T201R12,REALTIME
2944264,2015,2022-04-11 19:03:28,208,T201R12,REALTIME
2944445,2144,2022-04-11 19:02:47,-12,T201R12,REALTIME
2944264,2017,2022-04-11 19:03:34,154,T201R12,REALTIME
2944737,14827,2022-04-11 19:03:57,-2,T201R12,REALTIME
2944445,2142,2022-04-11 19:04:00,None,T201R12,SCHEDULED
2944264,2019,2022-04-11 19:06:39,219,T201R12,REALTIME
2944264,2021,2022-04-11 19:06:12,72,T201R12,REALTIME
2944737,14821,2022-04-11 19:06:00,None,T201R12,SCHEDULED
2944445,2140,2022-04-11 19:06:00,None,T201R12,SCHEDULED
2944737,14819,2022-04-11 19:07:00,None,T201R12,SCHEDULED
2944264,2023,2022-04-11 19:07:52,112,T201R12,REALTIME
2944737,14818,2022-04-11 19:08:00,None,T201R12,SCHEDULED
2944264,2025,2022-04-11 19:09:26,86,T201R12,REALTIME
2944737,14815,2022-04-11 19:09:00,None,T201R12,SCHEDULED
2944445,2138,2022-04-11 19:09:22,22,T201R12,REALTIME
2944737,14547,2022-04-11 19:10:00,None,T201R12,SCHEDULED
2944264,2027,2022-04-11 19:10:52,52,T201R12,REALTIME
2944737,14546,2022-04-11 19:12:00,None,T201R12,SCHEDULED
2944445,2001,2022-04-11 19:13:05,125,T201R12,REALTIME
2944264,2029,2022-04-11 19:12:36,96,T201R12,REALTIME
2944264,2031,2022-04-11 19:13:37,97,T201R12,REALTIME
2944445,2005,2022-04-11 19:14:39,39,T201R12,REALTIME
2944737,14540,2022-04-11 19:14:00,None,T201R12,SCHEDULED
2944737,14538,2022-04-11 19:15:00,None,T201R12,SCHEDULED
2944445,2007,2022-04-11 19:15:13,13,T201R12,REALTIME
2944264,2033,2022-04-11 19:15:06,126,T201R12,REALTIME
2944445,2009,2022-04-11 19:15:58,-1,T201R12,REALTIME
2944737,14536,2022-04-11 19:17:00,None,T201R12,SCHEDULED
2944264,2035,2022-04-11 19:16:44,104,T201R12,REALTIME
2944445,2011,2022-04-11 19:18:00,None,T201R12,SCHEDULED
2944264,2037,2022-04-11 19:17:50,110,T201R12,REALTIME
2944264,2039,2022-04-11 19:18:33,93,T201R12,REALTIME
2944264,2041,2022-04-11 19:19:25,85,T201R12,REALTIME
2944737,2150,2022-04-11 19:20:00,None,T201R12,SCHEDULED
2944445,2015,2022-04-11 19:20:00,None,T201R12,SCHEDULED
2948580,14547,2022-04-11 19:29:00,-59,T201R12,REALTIME
2948580,14546,2022-04-11 19:30:23,-96,T201R12,REALTIME
2948580,14540,2022-04-11 19:32:14,-105,T201R12,REALTIME
2948580,14538,2022-04-11 19:33:12,-107,T201R12,REALTIME
2948580,14536,2022-04-11 19:34:23,-156,T201R12,REALTIME
2948580,2150,2022-04-11 19:37:38,-141,T201R12,REALTIME
2944737,2148,2022-04-11 19:21:03,3,T201R12,REALTIME
2948580,2146,2022-04-11 19:39:19,-160,T201R12,REALTIME
2948580,2144,2022-04-11 19:40:16,-163,T201R12,REALTIME
2948580,2142,2022-04-11 19:41:03,-176,T201R12,REALTIME
2948580,2140,2022-04-11 19:42:33,-206,T201R12,REALTIME
2948580,2138,2022-04-11 19:46:32,-147,T201R12,REALTIME
2948580,2001,2022-04-11 19:47:57,-182,T201R12,REALTIME
2948580,2005,2022-04-11 19:50:19,-220,T201R12,REALTIME
2948580,2007,2022-04-11 19:55:00,None,T201R12,SCHEDULED
2948580,2009,2022-04-11 19:56:00,None,T201R12,SCHEDULED
2948580,2011,2022-04-11 19:58:00,None,T201R12,SCHEDULED
2948580,2015,2022-04-11 20:00:00,None,T201R12,SCHEDULED
2944445,2017,2022-04-11 19:21:00,None,T201R12,SCHEDULED
2948580,2017,2022-04-11 20:01:00,None,T201R12,SCHEDULED
2948580,2019,2022-04-11 20:03:00,None,T201R12,SCHEDULED
2948580,2021,2022-04-11 20:05:00,None,T201R12,SCHEDULED
2948580,2023,2022-04-11 20:06:00,None,T201R12,SCHEDULED
2948580,2025,2022-04-11 20:08:00,None,T201R12,SCHEDULED
2948580,2027,2022-04-11 20:10:00,None,T201R12,SCHEDULED
2948580,2029,2022-04-11 20:11:00,None,T201R12,SCHEDULED
2948580,2033,2022-04-11 20:13:00,None,T201R12,SCHEDULED
2948580,2035,2022-04-11 20:15:00,None,T201R12,SCHEDULED
2948580,2037,2022-04-11 20:16:00,None,T201R12,SCHEDULED
2948580,2039,2022-04-11 20:17:00,None,T201R12,SCHEDULED
2948580,2041,2022-04-11 20:18:00,None,T201R12,SCHEDULED
2944264,2043,2022-04-11 19:21:05,125,T201R12,REALTIME
2948580,2043,2022-04-11 20:19:00,None,T201R12,SCHEDULED
2948580,14825,2022-04-11 19:21:00,None,T201R12,SCHEDULED
2948580,14827,2022-04-11 19:24:00,None,T201R12,SCHEDULED
2948580,14821,2022-04-11 19:26:00,None,T201R12,SCHEDULED
2948580,14819,2022-04-11 19:27:00,None,T201R12,SCHEDULED
2948580,14818,2022-04-11 19:28:00,None,T201R12,SCHEDULED
2948580,14815,2022-04-11 19:29:00,None,T201R12,SCHEDULED
2948580,2148,2022-04-11 19:38:26,-153,T201R12,REALTIME
2948580,202,2022-04-11 20:21:00,None,T201R12,SCHEDULED
2944737,2146,2022-04-11 19:21:53,-6,T201R12,REALTIME
2944737,2144,2022-04-11 19:22:50,-9,T201R12,REALTIME
2944445,2019,2022-04-11 19:23:00,None,T201R12,SCHEDULED
2944737,2142,2022-04-11 19:24:00,None,T201R12,SCHEDULED
2944445,2021,2022-04-11 19:25:00,None,T201R12,SCHEDULED
2944737,2140,2022-04-11 19:26:00,None,T201R12,SCHEDULED
2944445,2023,2022-04-11 19:26:00,None,T201R12,SCHEDULED
2944445,2025,2022-04-11 19:28:00,None,T201R12,SCHEDULED
2944737,2138,2022-04-11 19:30:56,116,T201R12,REALTIME
2944445,2027,2022-04-11 19:30:00,None,T201R12,SCHEDULED
2944445,2029,2022-04-11 19:31:00,None,T201R12,SCHEDULED
2944737,2001,2022-04-11 19:32:06,66,T201R12,REALTIME
2944445,2031,2022-04-11 19:32:00,None,T201R12,SCHEDULED
2944445,2033,2022-04-11 19:33:00,None,T201R12,SCHEDULED
2944737,2005,2022-04-11 19:34:00,None,T201R12,SCHEDULED
2944737,2007,2022-04-11 19:35:00,None,T201R12,SCHEDULED
2944445,2035,2022-04-11 19:35:00,None,T201R12,SCHEDULED
2944737,2009,2022-04-11 19:36:00,None,T201R12,SCHEDULED
2944445,2037,2022-04-11 19:36:15,15,T201R12,REALTIME
2944445,2039,2022-04-11 19:36:49,-10,T201R12,REALTIME
2944737,2011,2022-04-11 19:37:51,-8,T201R12,REALTIME
2944445,2041,2022-04-11 19:38:45,45,T201R12,REALTIME
2944445,2043,2022-04-11 19:39:30,30,T201R12,REALTIME
2944737,2015,2022-04-11 19:40:00,None,T201R12,SCHEDULED
2942343,14825,2022-04-11 19:41:03,3,T201R12,REALTIME
2944737,2017,2022-04-11 19:41:00,None,T201R12,SCHEDULED
2944445,202,2022-04-11 19:41:00,None,T201R12,SCHEDULED
2944737,2019,2022-04-11 19:43:04,4,T201R12,REALTIME
2942343,14827,2022-04-11 19:44:43,43,T201R12,REALTIME
2944737,2021,2022-04-11 19:45:00,None,T201R12,SCHEDULED
2942343,14821,2022-04-11 19:46:25,25,T201R12,REALTIME
2944737,2023,2022-04-11 19:46:00,None,T201R12,SCHEDULED
2942343,14819,2022-04-11 19:47:00,None,T201R12,SCHEDULED
2942343,14818,2022-04-11 19:47:56,-3,T201R12,REALTIME
2944737,2025,2022-04-11 19:48:14,14,T201R12,REALTIME
2942343,14815,2022-04-11 19:49:13,13,T201R12,REALTIME
2948516,14825,2022-04-11 20:01:01,1,T201R12,REALTIME
2937418,14825,2022-04-11 20:42:00,None,T201R12,SCHEDULED
2948516,14827,2022-04-11 20:03:29,-30,T201R12,REALTIME
2937418,14827,2022-04-11 20:45:00,None,T201R12,SCHEDULED
2948516,14821,2022-04-11 20:05:09,-50,T201R12,REALTIME
2948516,14819,2022-04-11 20:05:50,-69,T201R12,REALTIME
2948516,14818,2022-04-11 20:06:51,-68,T201R12,REALTIME
2948516,14815,2022-04-11 20:07:54,-65,T201R12,REALTIME
2942343,14547,2022-04-11 19:49:36,-23,T201R12,REALTIME
2935957,14547,2022-04-11 20:28:00,None,T201R12,SCHEDULED
2942343,14546,2022-04-11 19:51:04,-55,T201R12,REALTIME
2935957,14546,2022-04-11 20:30:00,None,T201R12,SCHEDULED
