trip,stop,timestamp,delay,variant,status
2869605,202,2022-04-08 15:18:00,None,T212R12,SCHEDULED
2869605,2046,2022-04-08 15:19:00,None,T212R12,SCHEDULED
2869605,2044,2022-04-08 15:21:20,20,T212R12,REALTIME
2869605,2042,2022-04-08 15:22:13,13,T212R12,REALTIME
2869605,2040,2022-04-08 15:23:00,None,T212R12,SCHEDULED
2869605,2038,2022-04-08 15:24:00,None,T212R12,SCHEDULED
2869605,2036,2022-04-08 15:25:00,None,T212R12,SCHEDULED
2869605,2034,2022-04-08 15:27:00,None,T212R12,SCHEDULED
2869605,2030,2022-04-08 15:29:00,None,T212R12,SCHEDULED
2869605,2028,2022-04-08 15:30:00,None,T212R12,SCHEDULED
2869605,2026,2022-04-08 15:31:35,-25,T212R12,REALTIME
2869605,2024,2022-04-08 15:34:00,None,T212R12,SCHEDULED
2869605,2022,2022-04-08 15:36:00,None,T212R12,SCHEDULED
2869605,2020,2022-04-08 15:38:01,61,T212R12,REALTIME
2866940,202,2022-04-08 15:38:00,None,T212R12,SCHEDULED
2869605,2018,2022-04-08 15:38:59,0,T212R12,REALTIME
2866940,2046,2022-04-08 15:40:03,63,T212R12,REALTIME
2869605,2016,2022-04-08 15:40:03,3,T212R12,REALTIME
2866940,2044,2022-04-08 15:41:00,None,T212R12,SCHEDULED
2866940,2042,2022-04-08 15:42:00,None,T212R12,SCHEDULED
2869605,2014,2022-04-08 15:42:00,None,T212R12,SCHEDULED
2869605,2012,2022-04-08 15:43:49,49,T212R12,REALTIME
2866940,2040,2022-04-08 15:43:04,4,T212R12,REALTIME
2866940,2038,2022-04-08 15:44:11,11,T212R12,REALTIME
2869605,2010,2022-04-08 15:43:58,-1,T212R12,REALTIME
2866940,2036,2022-04-08 15:45:15,15,T212R12,REALTIME
2869605,2008,2022-04-08 15:45:00,None,T212R12,SCHEDULED
2869605,2006,2022-04-08 15:46:00,None,T212R12,SCHEDULED
2866940,2034,2022-04-08 15:47:00,None,T212R12,SCHEDULED
2869605,2002,2022-04-08 15:48:35,35,T212R12,REALTIME
2866940,2030,2022-04-08 15:49:00,None,T212R12,SCHEDULED
2866940,2028,2022-04-08 15:50:22,22,T212R12,REALTIME
2866940,2026,2022-04-08 15:51:54,-6,T212R12,REALTIME
2869605,2137,2022-04-08 15:53:02,122,T212R12,REALTIME
2866940,2024,2022-04-08 15:54:00,None,T212R12,SCHEDULED
2869605,2139,2022-04-08 15:54:52,52,T212R12,REALTIME
2866940,2022,2022-04-08 15:56:00,None,T212R12,SCHEDULED
2869605,2141,2022-04-08 15:56:52,52,T212R12,REALTIME
2866940,2020,2022-04-08 15:58:11,71,T212R12,REALTIME
2869605,2143,2022-04-08 15:57:43,43,T212R12,REALTIME
2862845,202,2022-04-08 15:58:00,None,T212R12,SCHEDULED
2869605,2145,2022-04-08 15:58:16,16,T212R12,REALTIME
2866940,2018,2022-04-08 15:59:00,None,T212R12,SCHEDULED
2862845,2046,2022-04-08 15:59:00,None,T212R12,SCHEDULED
2869605,2147,2022-04-08 15:59:34,34,T212R12,REALTIME
2866940,2016,2022-04-08 16:00:28,28,T212R12,REALTIME
2862845,2008,2022-04-08 16:26:02,62,T212R12,REALTIME
2862845,2006,2022-04-08 16:27:21,81,T212R12,REALTIME
2869605,2149,2022-04-08 16:01:00,None,T212R12,SCHEDULED
2862845,2044,2022-04-08 16:01:57,57,T212R12,REALTIME
2866940,2014,2022-04-08 16:02:00,None,T212R12,SCHEDULED
2862845,2042,2022-04-08 16:02:42,42,T212R12,REALTIME
