trip,stop,timestamp,delay,variant,status
2919829,2046,2022-04-11 04:41:00,None,T202R12,SCHEDULED
2919829,2044,2022-04-11 04:43:00,None,T202R12,SCHEDULED
2919829,2042,2022-04-11 04:44:00,None,T202R12,SCHEDULED
2919829,2040,2022-04-11 04:45:00,None,T202R12,SCHEDULED
2933248,2046,2022-04-11 18:24:34,154,T202R12,REALTIME
2933248,2044,2022-04-11 18:24:00,None,T202R12,SCHEDULED
2933248,2042,2022-04-11 18:25:00,None,T202R12,SCHEDULED
2933248,2040,2022-04-11 18:26:00,0,T202R12,REALTIME
2933248,2038,2022-04-11 18:27:06,6,T202R12,REALTIME
2933248,2036,2022-04-11 18:28:04,4,T202R12,REALTIME
2933248,2034,2022-04-11 18:30:28,28,T202R12,REALTIME
2933248,2030,2022-04-11 18:31:57,-2,T202R12,REALTIME
2933248,2028,2022-04-11 18:32:40,-19,T202R12,REALTIME
2942342,2046,2022-04-11 18:37:02,182,T202R12,REALTIME
2933248,2026,2022-04-11 18:36:16,76,T202R12,REALTIME
2942342,2044,2022-04-11 18:36:23,23,T202R12,REALTIME
2942342,2042,2022-04-11 18:38:01,61,T202R12,REALTIME
2933248,2024,2022-04-11 18:37:34,34,T202R12,REALTIME
2942342,2040,2022-04-11 18:38:30,30,T202R12,REALTIME
2939150,2002,2022-04-11 19:11:15,15,T202R12,REALTIME
2933248,2022,2022-04-11 18:39:48,48,T202R12,REALTIME
2942342,2038,2022-04-11 18:40:21,81,T202R12,REALTIME
2933248,2020,2022-04-11 18:40:59,59,T202R12,REALTIME
2942342,2036,2022-04-11 18:41:02,62,T202R12,REALTIME
2942342,2034,2022-04-11 18:43:00,60,T202R12,REALTIME
2933248,2018,2022-04-11 18:42:33,33,T202R12,REALTIME
2939150,2046,2022-04-11 18:46:06,246,T202R12,REALTIME
2939150,2044,2022-04-11 18:44:43,43,T202R12,REALTIME
2942342,2030,2022-04-11 18:44:23,23,T202R12,REALTIME
2933248,2016,2022-04-11 18:44:13,73,T202R12,REALTIME
2933248,2014,2022-04-11 18:45:33,33,T202R12,REALTIME
2939150,2042,2022-04-11 18:46:21,81,T202R12,REALTIME
2942342,2028,2022-04-11 18:46:09,69,T202R12,REALTIME
2939150,2040,2022-04-11 18:46:51,51,T202R12,REALTIME
2933248,2012,2022-04-11 18:47:00,60,T202R12,REALTIME
2939150,2038,2022-04-11 18:47:53,53,T202R12,REALTIME
2942342,2026,2022-04-11 18:48:53,113,T202R12,REALTIME
2933248,2010,2022-04-11 18:47:43,43,T202R12,REALTIME
2939150,2036,2022-04-11 18:48:39,39,T202R12,REALTIME
2933248,2008,2022-04-11 18:48:43,43,T202R12,REALTIME
2942342,2024,2022-04-11 18:49:18,18,T202R12,REALTIME
2939150,2034,2022-04-11 18:50:26,26,T202R12,REALTIME
2933248,2006,2022-04-11 18:50:33,93,T202R12,REALTIME
2939150,2030,2022-04-11 18:51:55,-4,T202R12,REALTIME
2942342,2022,2022-04-11 18:52:23,83,T202R12,REALTIME
2948515,2002,2022-04-11 19:25:22,82,T202R12,REALTIME
2939150,2028,2022-04-11 18:52:44,-15,T202R12,REALTIME
2942342,2020,2022-04-11 18:54:15,135,T202R12,REALTIME
2933248,2002,2022-04-11 18:54:39,219,T202R12,REALTIME
2948515,2046,2022-04-11 18:55:22,22,T202R12,REALTIME
2939150,2026,2022-04-11 18:56:25,85,T202R12,REALTIME
2942342,2018,2022-04-11 18:55:57,117,T202R12,REALTIME
2948515,2044,2022-04-11 18:57:00,None,T202R12,SCHEDULED
2939150,2024,2022-04-11 18:56:47,-12,T202R12,REALTIME
2942342,2016,2022-04-11 18:56:53,113,T202R12,REALTIME
2933248,2137,2022-04-11 18:57:13,193,T202R12,REALTIME
2948515,2042,2022-04-11 18:58:07,7,T202R12,REALTIME
2942342,2014,2022-04-11 18:57:53,53,T202R12,REALTIME
2948515,2040,2022-04-11 18:59:00,None,T202R12,SCHEDULED
2939150,2022,2022-04-11 18:59:00,None,T202R12,SCHEDULED
2942342,2012,2022-04-11 18:59:28,88,T202R12,REALTIME
2948515,2038,2022-04-11 19:00:00,None,T202R12,SCHEDULED
2939150,2020,2022-04-11 19:00:59,59,T202R12,REALTIME
2942342,2010,2022-04-11 19:00:00,60,T202R12,REALTIME
2933248,2139,2022-04-11 19:00:27,207,T202R12,REALTIME
2948515,2036,2022-04-11 19:01:00,None,T202R12,SCHEDULED
2942342,2008,2022-04-11 19:00:51,51,T202R12,REALTIME
2935956,2046,2022-04-11 19:02:03,3,T202R12,REALTIME
2942342,2006,2022-04-11 19:02:08,68,T202R12,REALTIME
2933248,2141,2022-04-11 19:01:58,178,T202R12,REALTIME
2939150,2018,2022-04-11 19:02:39,39,T202R12,REALTIME
2933248,2143,2022-04-11 19:02:50,170,T202R12,REALTIME
2948515,2034,2022-04-11 19:03:04,4,T202R12,REALTIME
2939150,2016,2022-04-11 19:03:32,32,T202R12,REALTIME
2933248,2145,2022-04-11 19:03:49,169,T202R12,REALTIME
2935956,2044,2022-04-11 19:04:00,None,T202R12,SCHEDULED
2942342,2002,2022-04-11 19:04:37,97,T202R12,REALTIME
2935956,2042,2022-04-11 19:05:00,None,T202R12,SCHEDULED
2948515,2030,2022-04-11 19:05:00,None,T202R12,SCHEDULED
2939150,2014,2022-04-11 19:05:00,None,T202R12,SCHEDULED
2933248,2147,2022-04-11 19:05:20,200,T202R12,REALTIME
2935956,2040,2022-04-11 19:06:00,None,T202R12,SCHEDULED
2948515,2028,2022-04-11 19:06:04,4,T202R12,REALTIME
