trip,stop,timestamp,delay,variant,status
2916739,2046,2022-04-10 19:21:00,None,T202R12,SCHEDULED
2916739,2044,2022-04-10 19:23:08,8,T202R12,REALTIME
2916739,2042,2022-04-10 19:24:34,34,T202R12,REALTIME
2916739,2040,2022-04-10 19:25:14,14,T202R12,REALTIME
2916739,2038,2022-04-10 19:26:12,12,T202R12,REALTIME
2916739,2036,2022-04-10 19:26:57,-2,T202R12,REALTIME
2916739,2034,2022-04-10 19:29:00,None,T202R12,SCHEDULED
2916739,2030,2022-04-10 19:31:00,None,T202R12,SCHEDULED
2916739,2028,2022-04-10 19:32:14,14,T202R12,REALTIME
2916739,2026,2022-04-10 19:34:00,None,T202R12,SCHEDULED
2916739,2024,2022-04-10 19:36:00,None,T202R12,SCHEDULED
2916739,2022,2022-04-10 19:38:00,None,T202R12,SCHEDULED
2916739,2020,2022-04-10 19:39:00,None,T202R12,SCHEDULED
2916739,2018,2022-04-10 19:41:00,None,T202R12,SCHEDULED
2914567,2046,2022-04-10 19:41:27,27,T202R12,REALTIME
2916739,2016,2022-04-10 19:41:58,-1,T202R12,REALTIME
2914567,2044,2022-04-10 19:44:46,106,T202R12,REALTIME
2916739,2014,2022-04-10 19:44:00,None,T202R12,SCHEDULED
2914567,2042,2022-04-10 19:45:27,87,T202R12,REALTIME
2916739,2012,2022-04-10 19:45:00,None,T202R12,SCHEDULED
2916739,2010,2022-04-10 19:46:00,None,T202R12,SCHEDULED
2914567,2040,2022-04-10 19:46:01,61,T202R12,REALTIME
2914567,2038,2022-04-10 19:47:04,64,T202R12,REALTIME
2916739,2008,2022-04-10 19:46:49,-10,T202R12,REALTIME
2914567,2036,2022-04-10 19:47:52,52,T202R12,REALTIME
2914567,2034,2022-04-10 19:49:39,39,T202R12,REALTIME
2916739,2006,2022-04-10 19:48:56,56,T202R12,REALTIME
2914567,2030,2022-04-10 19:51:09,9,T202R12,REALTIME
2916739,2002,2022-04-10 19:51:20,80,T202R12,REALTIME
2914567,2028,2022-04-10 19:52:21,21,T202R12,REALTIME
2914567,2026,2022-04-10 19:55:15,75,T202R12,REALTIME
2916739,2137,2022-04-10 19:54:45,105,T202R12,REALTIME
2914567,2024,2022-04-10 19:56:02,2,T202R12,REALTIME
2916739,2139,2022-04-10 19:57:38,98,T202R12,REALTIME
2914567,2022,2022-04-10 19:58:01,1,T202R12,REALTIME
2916739,2141,2022-04-10 19:57:56,-3,T202R12,REALTIME
2914567,2020,2022-04-10 19:59:54,54,T202R12,REALTIME
2916739,2143,2022-04-10 19:59:00,None,T202R12,SCHEDULED
2916739,2145,2022-04-10 20:00:17,17,T202R12,REALTIME
2911881,2046,2022-04-10 20:01:00,None,T202R12,SCHEDULED
2916739,2147,2022-04-10 20:01:10,10,T202R12,REALTIME
2914567,2018,2022-04-10 20:01:48,48,T202R12,REALTIME
2911881,2044,2022-04-10 20:03:08,8,T202R12,REALTIME
2914567,2016,2022-04-10 20:02:45,45,T202R12,REALTIME
2916739,2149,2022-04-10 20:02:57,-2,T202R12,REALTIME
2911881,2042,2022-04-10 20:04:00,None,T202R12,SCHEDULED
2914567,2014,2022-04-10 20:04:47,47,T202R12,REALTIME
2911881,2040,2022-04-10 20:05:10,10,T202R12,REALTIME
2911881,2038,2022-04-10 20:06:04,4,T202R12,REALTIME
2914567,2012,2022-04-10 20:06:24,84,T202R12,REALTIME
2916739,14535,2022-04-10 20:06:17,17,T202R12,REALTIME
2911881,2036,2022-04-10 20:06:55,-4,T202R12,REALTIME
2914567,2010,2022-04-10 20:07:13,73,T202R12,REALTIME
2914567,2008,2022-04-10 20:07:46,46,T202R12,REALTIME
2916739,14537,2022-04-10 20:08:13,73,T202R12,REALTIME
2914567,2006,2022-04-10 20:09:04,64,T202R12,REALTIME
2911881,2034,2022-04-10 20:09:00,None,T202R12,SCHEDULED
2916739,14539,2022-04-10 20:10:10,70,T202R12,REALTIME
2911881,2030,2022-04-10 20:11:00,None,T202R12,SCHEDULED
2914567,2002,2022-04-10 20:11:27,87,T202R12,REALTIME
2916739,14545,2022-04-10 20:12:13,73,T202R12,REALTIME
2911881,2028,2022-04-10 20:11:53,-6,T202R12,REALTIME
2916739,14587,2022-04-10 20:13:46,106,T202R12,REALTIME
2911881,2026,2022-04-10 20:14:00,None,T202R12,SCHEDULED
2914567,2137,2022-04-10 20:14:46,106,T202R12,REALTIME
2916739,14816,2022-04-10 20:14:33,93,T202R12,REALTIME
2916739,14817,2022-04-10 20:15:19,79,T202R12,REALTIME
2911881,2024,2022-04-10 20:16:00,None,T202R12,SCHEDULED
2914567,2139,2022-04-10 20:16:22,22,T202R12,REALTIME
2916739,14820,2022-04-10 20:16:19,79,T202R12,REALTIME
2916739,14822,2022-04-10 20:17:32,92,T202R12,REALTIME
2911881,2022,2022-04-10 20:18:00,None,T202R12,SCHEDULED
2914567,2141,2022-04-10 20:17:46,-13,T202R12,REALTIME
2911881,2020,2022-04-10 20:19:00,None,T202R12,SCHEDULED
2914567,2143,2022-04-10 20:19:28,28,T202R12,REALTIME
2914567,2145,2022-04-10 20:20:19,19,T202R12,REALTIME
2916739,14829,2022-04-10 20:20:41,101,T202R12,REALTIME
2910375,2046,2022-04-10 20:21:00,None,T202R12,SCHEDULED
2911881,2018,2022-04-10 20:21:00,None,T202R12,SCHEDULED
2911881,2016,2022-04-10 20:21:47,-12,T202R12,REALTIME
2914567,2147,2022-04-10 20:22:02,62,T202R12,REALTIME
2910375,2044,2022-04-10 20:23:05,5,T202R12,REALTIME
2914567,2149,2022-04-10 20:23:51,51,T202R12,REALTIME
2911881,2014,2022-04-10 20:24:00,None,T202R12,SCHEDULED
2910375,2042,2022-04-10 20:24:00,None,T202R12,SCHEDULED
2910375,2040,2022-04-10 20:25:00,None,T202R12,SCHEDULED
2911881,2012,2022-04-10 20:25:00,None,T202R12,SCHEDULED
2910375,2038,2022-04-10 20:26:06,6,T202R12,REALTIME
2911881,2010,2022-04-10 20:26:00,None,T202R12,SCHEDULED
2916739,14825,2022-04-10 20:42:00,1200,T202R12,REALTIME
2910375,2036,2022-04-10 20:26:51,-8,T202R12,REALTIME
2911881,2008,2022-04-10 20:26:46,-13,T202R12,REALTIME
2914567,14535,2022-04-10 20:27:22,82,T202R12,REALTIME
2911881,2006,2022-04-10 20:29:00,60,T202R12,REALTIME
2914567,14537,2022-04-10 20:29:05,125,T202R12,REALTIME
2910375,2034,2022-04-10 20:29:00,None,T202R12,SCHEDULED
2911881,2002,2022-04-10 20:31:22,82,T202R12,REALTIME
2910375,2030,2022-04-10 20:31:00,None,T202R12,SCHEDULED
2914567,14539,2022-04-10 20:32:35,215,T202R12,REALTIME
2910375,2028,2022-04-10 20:32:57,57,T202R12,REALTIME
2913645,2046,2022-04-10 20:50:25,25,T202R12,REALTIME
2913645,2044,2022-04-10 20:51:45,-14,T202R12,REALTIME
2913645,2042,2022-04-10 20:52:32,-27,T202R12,REALTIME
2913645,2040,2022-04-10 20:53:16,-43,T202R12,REALTIME
2913645,2038,2022-04-10 20:54:10,-49,T202R12,REALTIME
2913645,2036,2022-04-10 20:54:59,-60,T202R12,REALTIME
2915462,2046,2022-04-10 21:20:42,42,T202R12,REALTIME
2915462,2044,2022-04-10 21:22:20,20,T202R12,REALTIME
2915462,2042,2022-04-10 21:23:35,35,T202R12,REALTIME
2915462,2040,2022-04-10 21:24:19,19,T202R12,REALTIME
2915462,2038,2022-04-10 21:25:18,18,T202R12,REALTIME
2915462,2036,2022-04-10 21:26:04,4,T202R12,REALTIME
2915462,2034,2022-04-10 21:27:57,-2,T202R12,REALTIME
2915462,2030,2022-04-10 21:30:27,27,T202R12,REALTIME
2915462,2028,2022-04-10 21:31:08,8,T202R12,REALTIME
2915462,2026,2022-04-10 21:33:33,33,T202R12,REALTIME
2915462,2024,2022-04-10 21:35:00,None,T202R12,SCHEDULED
2915462,2022,2022-04-10 21:37:00,None,T202R12,SCHEDULED
2915462,2020,2022-04-10 21:38:00,None,T202R12,SCHEDULED
2915462,2018,2022-04-10 21:40:00,None,T202R12,SCHEDULED
2915462,2016,2022-04-10 21:41:00,None,T202R12,SCHEDULED
2915462,2014,2022-04-10 21:43:00,None,T202R12,SCHEDULED
2915462,2012,2022-04-10 21:44:44,44,T202R12,REALTIME
2915462,2010,2022-04-10 21:45:15,15,T202R12,REALTIME
2915462,2008,2022-04-10 21:45:59,0,T202R12,REALTIME
2915462,2006,2022-04-10 21:47:14,14,T202R12,REALTIME
2915462,2002,2022-04-10 21:49:43,43,T202R12,REALTIME
2916741,2046,2022-04-10 21:50:43,43,T202R12,REALTIME
2916741,2044,2022-04-10 21:52:00,None,T202R12,SCHEDULED
2916741,2042,2022-04-10 21:52:57,-2,T202R12,REALTIME
2915462,2137,2022-04-10 21:53:53,113,T202R12,REALTIME
2916741,2040,2022-04-10 21:54:00,None,T202R12,SCHEDULED
2916741,2038,2022-04-10 21:55:00,None,T202R12,SCHEDULED
2916741,2036,2022-04-10 21:56:00,0,T202R12,REALTIME
2915462,2139,2022-04-10 21:56:07,67,T202R12,REALTIME
2915462,2141,2022-04-10 21:57:03,3,T202R12,REALTIME
2916741,2034,2022-04-10 21:57:53,-6,T202R12,REALTIME
2915462,2143,2022-04-10 21:57:55,-4,T202R12,REALTIME
2915462,2145,2022-04-10 21:59:00,None,T202R12,SCHEDULED
2916741,2030,2022-04-10 22:00:00,None,T202R12,SCHEDULED
2915462,2147,2022-04-10 22:00:17,17,T202R12,REALTIME
2916741,2028,2022-04-10 22:01:00,None,T202R12,SCHEDULED
2915462,2149,2022-04-10 22:02:00,None,T202R12,SCHEDULED
2916741,2026,2022-04-10 22:03:17,17,T202R12,REALTIME
2916741,2024,2022-04-10 22:05:00,None,T202R12,SCHEDULED
2915462,14535,2022-04-10 22:05:00,None,T202R12,SCHEDULED
2915462,14537,2022-04-10 22:06:34,34,T202R12,REALTIME
2916741,2022,2022-04-10 22:07:15,15,T202R12,REALTIME
2915462,14539,2022-04-10 22:08:32,32,T202R12,REALTIME
2916741,2020,2022-04-10 22:09:19,79,T202R12,REALTIME
2916741,2018,2022-04-10 22:10:16,16,T202R12,REALTIME
2915462,14545,2022-04-10 22:11:04,64,T202R12,REALTIME
2916741,2016,2022-04-10 22:11:04,4,T202R12,REALTIME
2915462,14587,2022-04-10 22:12:07,67,T202R12,REALTIME
2916741,2014,2022-04-10 22:13:04,4,T202R12,REALTIME
2915462,14816,2022-04-10 22:12:56,56,T202R12,REALTIME
2916741,2012,2022-04-10 22:14:48,48,T202R12,REALTIME
2915462,14817,2022-04-10 22:14:33,93,T202R12,REALTIME
2916741,2010,2022-04-10 22:15:00,None,T202R12,SCHEDULED
2915462,14820,2022-04-10 22:15:20,80,T202R12,REALTIME
2916741,2008,2022-04-10 22:16:29,29,T202R12,REALTIME
2915462,14822,2022-04-10 22:16:31,91,T202R12,REALTIME
2916741,2006,2022-04-10 22:17:02,2,T202R12,REALTIME
2915462,14829,2022-04-10 22:18:55,55,T202R12,REALTIME
2916741,2002,2022-04-10 22:19:33,33,T202R12,REALTIME
2915462,14825,2022-04-10 22:42:10,1270,T202R12,REALTIME
2914569,2046,2022-04-10 22:23:09,189,T202R12,REALTIME
2916741,2137,2022-04-10 22:23:11,71,T202R12,REALTIME
2914569,2044,2022-04-10 22:23:53,113,T202R12,REALTIME
2914569,2042,2022-04-10 22:24:33,93,T202R12,REALTIME
2914569,2040,2022-04-10 22:25:10,70,T202R12,REALTIME
2916741,2139,2022-04-10 22:25:00,None,T202R12,SCHEDULED
2914569,2038,2022-04-10 22:26:04,64,T202R12,REALTIME
2914569,2036,2022-04-10 22:27:13,73,T202R12,REALTIME
2916741,2141,2022-04-10 22:27:00,None,T202R12,SCHEDULED
2916741,2143,2022-04-10 22:27:51,-8,T202R12,REALTIME
2914569,2034,2022-04-10 22:28:56,56,T202R12,REALTIME
2916741,2145,2022-04-10 22:29:00,None,T202R12,SCHEDULED
2914569,2030,2022-04-10 22:30:20,20,T202R12,REALTIME
2916741,2147,2022-04-10 22:30:00,None,T202R12,SCHEDULED
2914569,2028,2022-04-10 22:31:18,18,T202R12,REALTIME
2916741,2149,2022-04-10 22:32:13,13,T202R12,REALTIME
2914569,2026,2022-04-10 22:33:00,None,T202R12,SCHEDULED
2914569,2024,2022-04-10 22:35:00,None,T202R12,SCHEDULED
2916741,14535,2022-04-10 22:35:00,None,T202R12,SCHEDULED
2916741,14537,2022-04-10 22:36:30,30,T202R12,REALTIME
