departureDuringIssues,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
false,195.39,253.07,167.77,167.30,199.83
true,631.00,736.68,492.94,2762.67,598.56
