vehiclefloorHeight,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
Pojazd częściowo niskopodłogowy,235.36,312.72,187.25,-,235.36
Pojazd niskopodłogowy,221.00,303.61,180.46,186.97,227.43
