vehiclefloorHeight,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
Pojazd częściowo niskopodłogowy,154.0,185,136,-,154.0
Pojazd niskopodłogowy,128,150.0,120,116.0,131
