vehicleModel,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
Waggonfabrik  Uerdingen  A.G. Model:N8C-AC2,161.0,195.0,147.0,-,161.0
Waggonfabrik  Uerdingen  A.G. Model:N8C-AC1,159,229,132.0,-,159
Waggonfabrik  Uerdingen  A.G. Model:N8C-MF18,146.0,167.5,131.0,-,146.0
Pesa  Bydgoszcz  S.A. Model:120NaG,124,144,117.0,109.0,130
Bombardier Model:NGT6-2,138,140,135.5,-,138
Alstom Konstal Model:NGd99,96,91,111.5,-,96
Konstal Model:114Na,181,202.0,163,-,181
Pesa  Bydgoszcz  S.A. Model:128NG,132.0,156,123,129.0,132.0
Waggonfabrik  Uerdingen  A.G. Model:N8C-MF01,164.0,306.0,120.0,-,164.0
