trip,stopId,stopName,timestamp,delay,variant,status
3269551,14819,Stolema,2022-04-23 05:48:01,1,T201R12,REALTIME
3259676,2011,Traugutta,2022-04-23 05:49:00,None,T201R12,SCHEDULED
3269551,14818,Łabędzia,2022-04-23 05:49:41,41,T201R12,REALTIME
3269551,14815,Królewskie Wzgórze,2022-04-23 05:50:47,47,T201R12,REALTIME
3269551,14547,Migowo,2022-04-23 05:51:38,38,T201R12,REALTIME
3259676,2015,Opera Bałtycka,2022-04-23 05:51:00,None,T201R12,SCHEDULED
3259676,2017,Politechnika,2022-04-23 05:51:51,-8,T201R12,REALTIME
3269551,14546,Budapesztańska,2022-04-23 05:53:08,8,T201R12,REALTIME
3259676,2019,Miszewskiego,2022-04-23 05:54:02,2,T201R12,REALTIME
3269551,14540,Warneńska,2022-04-23 05:55:52,52,T201R12,REALTIME
3259676,2021,Jaśkowa Dolina,2022-04-23 05:56:03,3,T201R12,REALTIME
3259676,2023,Klonowa,2022-04-23 05:57:10,10,T201R12,REALTIME
3269551,14538,Belgradzka,2022-04-23 05:56:55,55,T201R12,REALTIME
3269551,14536,Piekarnicza,2022-04-23 05:58:29,29,T201R12,REALTIME
3259676,2025,Galeria Bałtycka,2022-04-23 05:59:58,58,T201R12,REALTIME
3269551,2150,Siedlce,2022-04-23 06:01:31,31,T201R12,REALTIME
3259676,2027,Wojska Polskiego,2022-04-23 06:01:05,5,T201R12,REALTIME
3259676,2029,Zamenhofa,2022-04-23 06:02:05,5,T201R12,REALTIME
3269551,2148,Skrajna,2022-04-23 06:02:53,53,T201R12,REALTIME
3259676,2031,Zajezdnia,2022-04-23 06:03:47,47,T201R12,REALTIME
3269551,2146,Zakopiańska,2022-04-23 06:04:22,82,T201R12,REALTIME
3259676,2033,Strzyża PKM,2022-04-23 06:04:40,40,T201R12,REALTIME
3269551,2144,Ciasna,2022-04-23 06:05:28,88,T201R12,REALTIME
3269551,2142,Paska,2022-04-23 06:06:11,71,T201R12,REALTIME
3259676,2035,Uniwersytet Gdański,2022-04-23 06:06:03,3,T201R12,REALTIME
