trip,stop,timestamp,delay,variant,status
2864657,201,2022-04-08 15:13:01,1,T21R8,REALTIME
2864657,2058,2022-04-08 15:15:12,12,T21R8,REALTIME
2864657,2056,2022-04-08 15:17:06,6,T21R8,REALTIME
2864657,2100,2022-04-08 15:20:26,146,T21R8,REALTIME
2864657,2098,2022-04-08 15:21:40,160,T21R8,REALTIME
2864657,2096,2022-04-08 15:22:57,117,T21R8,REALTIME
2873158,201,2022-04-08 15:23:01,1,T21R8,REALTIME
2864657,2094,2022-04-08 15:25:27,207,T21R8,REALTIME
2873158,2058,2022-04-08 15:25:10,10,T21R8,REALTIME
2864657,2092,2022-04-08 15:26:46,166,T21R8,REALTIME
2864657,2090,2022-04-08 15:27:44,104,T21R8,REALTIME
2873158,2056,2022-04-08 15:28:21,81,T21R8,REALTIME
2864657,2088,2022-04-08 15:28:40,100,T21R8,REALTIME
2873158,2100,2022-04-08 15:29:57,117,T21R8,REALTIME
2864657,2086,2022-04-08 15:29:53,113,T21R8,REALTIME
2873158,2098,2022-04-08 15:30:33,93,T21R8,REALTIME
2864657,2084,2022-04-08 15:30:17,77,T21R8,REALTIME
2864657,2082,2022-04-08 15:31:27,87,T21R8,REALTIME
2864657,2101,2022-04-08 15:54:16,136,T21R8,REALTIME
2873158,2096,2022-04-08 15:32:36,96,T21R8,REALTIME
2865056,201,2022-04-08 15:33:16,16,T21R8,REALTIME
2873158,2094,2022-04-08 15:34:30,150,T21R8,REALTIME
2864657,2080,2022-04-08 15:34:16,196,T21R8,REALTIME
2865056,2058,2022-04-08 15:35:00,None,T21R8,SCHEDULED
2873158,2092,2022-04-08 15:35:55,115,T21R8,REALTIME
2864657,2078,2022-04-08 15:36:26,206,T21R8,REALTIME
2865056,2056,2022-04-08 15:37:00,None,T21R8,SCHEDULED
2873158,2090,2022-04-08 15:37:32,92,T21R8,REALTIME
2873158,2088,2022-04-08 15:38:01,61,T21R8,REALTIME
2865056,2100,2022-04-08 15:38:00,None,T21R8,SCHEDULED
2864657,2076,2022-04-08 15:38:43,163,T21R8,REALTIME
2865056,2098,2022-04-08 15:39:00,None,T21R8,SCHEDULED
2873158,2086,2022-04-08 15:39:03,63,T21R8,REALTIME
2864657,2074,2022-04-08 15:39:29,149,T21R8,REALTIME
2873158,2084,2022-04-08 15:40:02,62,T21R8,REALTIME
2865056,2096,2022-04-08 15:41:00,None,T21R8,SCHEDULED
2873158,2082,2022-04-08 15:41:16,76,T21R8,REALTIME
2864657,2072,2022-04-08 15:41:22,142,T21R8,REALTIME
2865056,2094,2022-04-08 15:43:03,63,T21R8,REALTIME
2873158,2080,2022-04-08 15:42:42,102,T21R8,REALTIME
2864657,2070,2022-04-08 15:42:29,149,T21R8,REALTIME
2864657,2068,2022-04-08 15:43:35,95,T21R8,REALTIME
2868483,201,2022-04-08 15:43:28,28,T21R8,REALTIME
2865056,2092,2022-04-08 15:44:29,29,T21R8,REALTIME
2873158,2078,2022-04-08 15:44:18,78,T21R8,REALTIME
2864657,2066,2022-04-08 15:44:06,66,T21R8,REALTIME
2868483,2058,2022-04-08 15:45:36,36,T21R8,REALTIME
2864657,2064,2022-04-08 15:45:47,47,T21R8,REALTIME
2865056,2090,2022-04-08 15:46:00,None,T21R8,SCHEDULED
2873158,2076,2022-04-08 15:47:11,71,T21R8,REALTIME
2868483,2056,2022-04-08 15:49:12,132,T21R8,REALTIME
2865056,2088,2022-04-08 15:47:00,None,T21R8,SCHEDULED
2868483,2100,2022-04-08 15:48:02,2,T21R8,REALTIME
2865056,2086,2022-04-08 15:48:08,8,T21R8,REALTIME
2873158,2074,2022-04-08 15:48:05,65,T21R8,REALTIME
2864657,2062,2022-04-08 15:48:28,88,T21R8,REALTIME
2868483,2098,2022-04-08 15:49:14,14,T21R8,REALTIME
2865056,2084,2022-04-08 15:49:04,4,T21R8,REALTIME
2873158,2072,2022-04-08 15:50:13,73,T21R8,REALTIME
2865056,2082,2022-04-08 15:50:00,None,T21R8,SCHEDULED
2873158,2070,2022-04-08 15:50:23,23,T21R8,REALTIME
