id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
145743,1058,008-12,3066215,Pesa  Bydgoszcz  S.A.,128NG,2019,Pojazd niskopod這gowy,12
489,1024,008-06,3062422,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
454,1042,008-14,3059157,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
145824,1075,008-04,3062344,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
408,1012,008-10,3072815,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
478,1043,008-08,3063893,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
