trip,stop,timestamp,delay,variant,status
2917608,201,2022-04-10 19:30:05,5,T21R8,REALTIME
2917608,2058,2022-04-10 19:31:47,-12,T21R8,REALTIME
2917608,2056,2022-04-10 19:33:56,-4,T21R8,REALTIME
2917608,2100,2022-04-10 19:35:15,15,T21R8,REALTIME
2917608,2098,2022-04-10 19:37:04,64,T21R8,REALTIME
2917608,2096,2022-04-10 19:38:41,41,T21R8,REALTIME
2917608,2094,2022-04-10 19:39:39,39,T21R8,REALTIME
2917608,2092,2022-04-10 19:41:26,26,T21R8,REALTIME
2917608,2090,2022-04-10 19:42:52,-7,T21R8,REALTIME
2917608,2088,2022-04-10 19:44:00,None,T21R8,SCHEDULED
2917608,2086,2022-04-10 19:45:00,None,T21R8,SCHEDULED
2917608,2084,2022-04-10 19:46:00,None,T21R8,SCHEDULED
2917608,2082,2022-04-10 19:47:00,None,T21R8,SCHEDULED
2917608,2080,2022-04-10 19:47:47,-12,T21R8,REALTIME
2917608,2078,2022-04-10 19:50:00,None,T21R8,SCHEDULED
2915610,201,2022-04-10 19:50:59,59,T21R8,REALTIME
2915610,2058,2022-04-10 19:51:51,-8,T21R8,REALTIME
2917608,2076,2022-04-10 19:53:00,None,T21R8,SCHEDULED
2915610,2056,2022-04-10 19:55:32,92,T21R8,REALTIME
2917608,2074,2022-04-10 19:54:00,None,T21R8,SCHEDULED
2915610,2100,2022-04-10 19:55:14,14,T21R8,REALTIME
2917608,2072,2022-04-10 19:55:46,-14,T21R8,REALTIME
2915610,2098,2022-04-10 19:57:12,72,T21R8,REALTIME
2917608,2070,2022-04-10 19:56:53,-6,T21R8,REALTIME
2915610,2096,2022-04-10 19:59:31,91,T21R8,REALTIME
2917608,2068,2022-04-10 19:59:00,None,T21R8,SCHEDULED
2917608,2066,2022-04-10 20:00:08,8,T21R8,REALTIME
2915610,2094,2022-04-10 20:01:24,144,T21R8,REALTIME
2917608,2064,2022-04-10 20:02:05,5,T21R8,REALTIME
2915610,2092,2022-04-10 20:02:58,118,T21R8,REALTIME
2915610,2090,2022-04-10 20:04:29,89,T21R8,REALTIME
2917608,2062,2022-04-10 20:04:52,52,T21R8,REALTIME
2915610,2088,2022-04-10 20:05:15,75,T21R8,REALTIME
2915610,2086,2022-04-10 20:06:05,65,T21R8,REALTIME
2917608,2002,2022-04-10 20:07:24,84,T21R8,REALTIME
2915610,2084,2022-04-10 20:07:41,101,T21R8,REALTIME
2915610,2082,2022-04-10 20:08:39,99,T21R8,REALTIME
2915610,2080,2022-04-10 20:09:25,85,T21R8,REALTIME
2917608,2101,2022-04-10 20:09:56,56,T21R8,REALTIME
2909715,201,2022-04-10 20:10:02,2,T21R8,REALTIME
2915610,2078,2022-04-10 20:11:17,77,T21R8,REALTIME
2909715,2058,2022-04-10 20:12:00,0,T21R8,REALTIME
2917608,2103,2022-04-10 20:12:09,69,T21R8,REALTIME
2917608,2105,2022-04-10 20:13:04,64,T21R8,REALTIME
2915610,2076,2022-04-10 20:14:35,95,T21R8,REALTIME
2917608,2107,2022-04-10 20:14:43,103,T21R8,REALTIME
2909715,2056,2022-04-10 20:14:46,46,T21R8,REALTIME
2915610,2074,2022-04-10 20:15:07,67,T21R8,REALTIME
2917608,2109,2022-04-10 20:15:38,38,T21R8,REALTIME
2909715,2100,2022-04-10 20:15:58,58,T21R8,REALTIME
2909715,2098,2022-04-10 20:16:58,58,T21R8,REALTIME
2917608,2113,2022-04-10 20:17:22,22,T21R8,REALTIME
2915610,2072,2022-04-10 20:17:16,76,T21R8,REALTIME
2909715,2096,2022-04-10 20:18:49,49,T21R8,REALTIME
2915610,2070,2022-04-10 20:19:26,146,T21R8,REALTIME
2917608,2115,2022-04-10 20:19:00,None,T21R8,SCHEDULED
2909715,2094,2022-04-10 20:20:34,94,T21R8,REALTIME
2915610,2068,2022-04-10 20:20:21,81,T21R8,REALTIME
