trip,stop,timestamp,delay,variant,status
2919235,2130,2022-04-11 04:44:00,None,T302R8,SCHEDULED
2933737,2130,2022-04-11 18:16:42,-17,T302R8,REALTIME
2933737,2128,2022-04-11 18:19:39,39,T302R8,REALTIME
2933737,2126,2022-04-11 18:20:28,28,T302R8,REALTIME
2933737,2124,2022-04-11 18:21:08,8,T302R8,REALTIME
2933737,2122,2022-04-11 18:23:00,0,T302R8,REALTIME
2933737,2120,2022-04-11 18:24:37,37,T302R8,REALTIME
2935814,2130,2022-04-11 18:25:01,1,T302R8,REALTIME
2933737,2118,2022-04-11 18:25:12,12,T302R8,REALTIME
2933737,2116,2022-04-11 18:27:00,None,T302R8,SCHEDULED
2935814,2128,2022-04-11 18:27:11,11,T302R8,REALTIME
2935814,2126,2022-04-11 18:27:39,-20,T302R8,REALTIME
2935814,2124,2022-04-11 18:29:00,None,T302R8,SCHEDULED
2933737,2114,2022-04-11 18:29:25,25,T302R8,REALTIME
2935814,2122,2022-04-11 18:31:19,19,T302R8,REALTIME
2933737,2110,2022-04-11 18:31:00,None,T302R8,SCHEDULED
2933737,2108,2022-04-11 18:32:18,18,T302R8,REALTIME
2935814,2120,2022-04-11 18:32:46,46,T302R8,REALTIME
2933737,2106,2022-04-11 18:33:03,3,T302R8,REALTIME
2935208,2001,2022-04-11 18:59:00,None,T302R8,SCHEDULED
2935814,2118,2022-04-11 18:33:33,33,T302R8,REALTIME
2935814,2116,2022-04-11 18:35:31,31,T302R8,REALTIME
2933737,2104,2022-04-11 18:35:00,None,T302R8,SCHEDULED
2933737,2102,2022-04-11 18:37:00,None,T302R8,SCHEDULED
2935208,2130,2022-04-11 18:37:32,32,T302R8,REALTIME
2935814,2114,2022-04-11 18:37:50,50,T302R8,REALTIME
2935208,2128,2022-04-11 18:39:35,35,T302R8,REALTIME
2935814,2110,2022-04-11 18:39:00,None,T302R8,SCHEDULED
2933737,2001,2022-04-11 18:39:00,None,T302R8,SCHEDULED
2935814,2108,2022-04-11 18:40:28,28,T302R8,REALTIME
2935208,2126,2022-04-11 18:41:01,61,T302R8,REALTIME
2935814,2106,2022-04-11 18:41:14,14,T302R8,REALTIME
2935208,2124,2022-04-11 18:41:50,50,T302R8,REALTIME
2933737,2061,2022-04-11 18:42:36,36,T302R8,REALTIME
2935208,2122,2022-04-11 18:43:49,49,T302R8,REALTIME
2935814,2104,2022-04-11 18:43:04,4,T302R8,REALTIME
2935208,2120,2022-04-11 18:44:36,36,T302R8,REALTIME
2933737,2063,2022-04-11 18:44:28,28,T302R8,REALTIME
2935631,2130,2022-04-11 18:45:00,None,T302R8,SCHEDULED
2935814,2102,2022-04-11 18:45:31,31,T302R8,REALTIME
2935208,2118,2022-04-11 18:46:05,65,T302R8,REALTIME
2935631,2128,2022-04-11 18:46:59,0,T302R8,REALTIME
2938140,2071,2022-04-11 19:37:07,7,T302R8,REALTIME
2938140,2073,2022-04-11 19:38:23,23,T302R8,REALTIME
2935208,2116,2022-04-11 18:47:50,50,T302R8,REALTIME
2935631,2126,2022-04-11 18:48:34,34,T302R8,REALTIME
2935814,2001,2022-04-11 18:50:24,204,T302R8,REALTIME
2933737,2065,2022-04-11 18:48:30,150,T302R8,REALTIME
2935631,2124,2022-04-11 18:49:19,19,T302R8,REALTIME
2935208,2114,2022-04-11 18:49:38,38,T302R8,REALTIME
2933737,2067,2022-04-11 18:50:04,184,T302R8,REALTIME
2935631,2122,2022-04-11 18:51:13,13,T302R8,REALTIME
2935208,2110,2022-04-11 18:51:00,None,T302R8,SCHEDULED
2935814,2061,2022-04-11 18:50:55,55,T302R8,REALTIME
2935631,2120,2022-04-11 18:51:57,-2,T302R8,REALTIME
2935208,2108,2022-04-11 18:52:06,6,T302R8,REALTIME
2935814,2063,2022-04-11 18:51:52,-7,T302R8,REALTIME
2933737,2069,2022-04-11 18:51:47,227,T302R8,REALTIME
2935631,2118,2022-04-11 18:52:57,-2,T302R8,REALTIME
2935208,2106,2022-04-11 18:53:42,42,T302R8,REALTIME
2933737,2071,2022-04-11 18:53:40,220,T302R8,REALTIME
2935814,2065,2022-04-11 18:54:00,None,T302R8,SCHEDULED
2933737,2073,2022-04-11 18:54:25,205,T302R8,REALTIME
2935631,2116,2022-04-11 18:55:17,17,T302R8,REALTIME
2935208,2104,2022-04-11 18:55:00,None,T302R8,SCHEDULED
2935814,2067,2022-04-11 18:55:00,None,T302R8,SCHEDULED
2935814,2069,2022-04-11 18:56:00,None,T302R8,SCHEDULED
2935208,2102,2022-04-11 18:57:00,None,T302R8,SCHEDULED
2935814,2071,2022-04-11 18:57:45,-14,T302R8,REALTIME
2933737,2075,2022-04-11 18:58:05,305,T302R8,REALTIME
2935631,2114,2022-04-11 18:57:48,48,T302R8,REALTIME
2935631,2110,2022-04-11 18:59:00,None,T302R8,SCHEDULED
2935814,2073,2022-04-11 18:59:00,None,T302R8,SCHEDULED
2933737,2077,2022-04-11 18:59:37,277,T302R8,REALTIME
2935631,2108,2022-04-11 19:00:30,30,T302R8,REALTIME
2935631,2106,2022-04-11 19:01:24,24,T302R8,REALTIME
2933737,2079,2022-04-11 19:01:05,245,T302R8,REALTIME
2935814,2075,2022-04-11 19:01:59,59,T302R8,REALTIME
2933737,2081,2022-04-11 19:02:03,243,T302R8,REALTIME
