trip,stop,timestamp,delay,variant,status
2863296,2130,2022-04-08 15:15:14,14,T302R8,REALTIME
2863296,2128,2022-04-08 15:18:21,81,T302R8,REALTIME
2863296,2126,2022-04-08 15:19:23,83,T302R8,REALTIME
2863296,2001,2022-04-08 15:42:59,359,T302R8,REALTIME
2863296,2124,2022-04-08 15:20:25,85,T302R8,REALTIME
2863296,2122,2022-04-08 15:23:54,174,T302R8,REALTIME
2863296,2120,2022-04-08 15:24:51,171,T302R8,REALTIME
2863472,2130,2022-04-08 15:25:00,None,T302R8,SCHEDULED
2863296,2118,2022-04-08 15:25:58,178,T302R8,REALTIME
2863472,2128,2022-04-08 15:27:12,12,T302R8,REALTIME
2863472,2126,2022-04-08 15:28:10,10,T302R8,REALTIME
2863296,2116,2022-04-08 15:28:51,231,T302R8,REALTIME
2863472,2124,2022-04-08 15:29:20,20,T302R8,REALTIME
2863472,2122,2022-04-08 15:31:00,None,T302R8,SCHEDULED
2863296,2114,2022-04-08 15:31:38,278,T302R8,REALTIME
2863472,2120,2022-04-08 15:32:00,None,T302R8,SCHEDULED
2863472,2118,2022-04-08 15:33:00,None,T302R8,SCHEDULED
2863296,2110,2022-04-08 15:33:20,260,T302R8,REALTIME
2870325,2130,2022-04-08 15:34:50,-9,T302R8,REALTIME
2863472,2116,2022-04-08 15:35:06,6,T302R8,REALTIME
2863296,2108,2022-04-08 15:35:03,303,T302R8,REALTIME
2863296,2106,2022-04-08 15:36:53,353,T302R8,REALTIME
2870325,2128,2022-04-08 15:37:00,None,T302R8,SCHEDULED
2863472,2114,2022-04-08 15:37:00,None,T302R8,SCHEDULED
2863296,2104,2022-04-08 15:38:29,329,T302R8,REALTIME
2870325,2126,2022-04-08 15:38:00,None,T302R8,SCHEDULED
2870325,2124,2022-04-08 15:39:03,3,T302R8,REALTIME
2863472,2110,2022-04-08 15:38:32,-28,T302R8,REALTIME
2863296,2102,2022-04-08 15:41:08,368,T302R8,REALTIME
2870325,2122,2022-04-08 15:41:20,20,T302R8,REALTIME
2863472,2108,2022-04-08 15:41:28,88,T302R8,REALTIME
2863472,2106,2022-04-08 15:42:15,75,T302R8,REALTIME
