id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
141538,1053,008-10,2943791,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
412,1016,008-01,2933737,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
444,1038,008-02,2935814,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
405,1018,008-03,2935208,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
426,1032,008-04,2935631,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
411,1017,008-11,2933321,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
406,1015,008-06,2938140,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
489,1024,008-12,2938314,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
442,1035,008-08,2938878,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
416,1022,008-14,2934316,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
141538,1053,008-10,2943792,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
426,1032,008-04,2935632,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
411,1017,008-11,2933322,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
406,1015,008-06,2938141,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
141538,1053,008-10,2943793,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
442,1035,008-08,2938879,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
426,1032,008-04,2935633,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
416,1022,008-14,2934317,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
489,1024,008-12,2938315,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
141538,1053,008-10,2943793,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
426,1032,008-04,2935633,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
406,1015,008-06,2938142,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
489,1024,008-12,2938316,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
442,1035,008-08,2938880,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
