id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
417,1023,008-05,2864657,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
394,1122,008-06,2873158,Waggonfabrik  Uerdingen  A.G.,N8C-AC1,1980,Pojazd czêœciowo niskopod³ogowy,10
445,1036,008-07,2865056,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
420,1026,008-13,2863296,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
415,1021,008-14,2863472,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
319,1141,008-15,2870325,Waggonfabrik  Uerdingen  A.G.,N8C-MF01,1981,Pojazd czêœciowo niskopod³ogowy,10
405,1018,008-08,2868483,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
280,1502,008-01,2862999,Konstal,114Na,1996,Pojazd czêœciowo niskopod³ogowy,5
267,1001,008-09,2868612,Alstom Konstal,NGd99,1999,Pojazd czêœciowo niskopod³ogowy,5
510,1501,008-02,2864748,Konstal,114Na,1996,Pojazd czêœciowo niskopod³ogowy,5
446,1039,008-10,2873639,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
406,1015,008-03,2864454,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod³ogowy,6
425,1031,008-11,2861415,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
408,1012,008-04,2866321,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod³ogowy,6
441,1037,008-12,2868812,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
417,1023,008-05,2864658,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
420,1026,008-13,2863297,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
394,1122,008-06,2873159,Waggonfabrik  Uerdingen  A.G.,N8C-AC1,1980,Pojazd czêœciowo niskopod³ogowy,10
415,1021,008-14,2863473,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
445,1036,008-07,2865057,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
319,1141,008-15,2870326,Waggonfabrik  Uerdingen  A.G.,N8C-MF01,1981,Pojazd czêœciowo niskopod³ogowy,10
405,1018,008-08,2868484,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
280,1502,008-01,2863000,Konstal,114Na,1996,Pojazd czêœciowo niskopod³ogowy,5
267,1001,008-09,2868613,Alstom Konstal,NGd99,1999,Pojazd czêœciowo niskopod³ogowy,5
510,1501,008-02,2864749,Konstal,114Na,1996,Pojazd czêœciowo niskopod³ogowy,5
446,1039,008-10,2873640,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
425,1031,008-11,2861416,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
406,1015,008-03,2864455,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod³ogowy,6
408,1012,008-04,2866322,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod³ogowy,6
441,1037,008-12,2868813,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
420,1026,008-13,2863298,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
394,1122,008-06,2873160,Waggonfabrik  Uerdingen  A.G.,N8C-AC1,1980,Pojazd czêœciowo niskopod³ogowy,10
445,1036,008-07,2865058,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
415,1021,008-14,2863474,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
319,1141,008-15,2870327,Waggonfabrik  Uerdingen  A.G.,N8C-MF01,1981,Pojazd czêœciowo niskopod³ogowy,10
405,1018,008-08,2868485,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
145822,1073,008-01,2863001,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod³ogowy,12
510,1501,008-02,2864750,Konstal,114Na,1996,Pojazd czêœciowo niskopod³ogowy,5
446,1039,008-10,2873641,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
406,1015,008-03,2864456,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod³ogowy,6
408,1012,008-04,2866323,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod³ogowy,6
425,1031,008-11,2861417,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
394,1122,008-06,2873161,Waggonfabrik  Uerdingen  A.G.,N8C-AC1,1980,Pojazd czêœciowo niskopod³ogowy,10
441,1037,008-12,2868814,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
405,1018,008-08,2868486,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod³ogowy,6
