trip,stopId,stopName,timestamp,delay,variant,status
3066215,2066,Stocznia Pó³nocna,2022-04-15 22:05:00,None,T21R8,SCHEDULED
3066215,2064,Stocznia SKM,2022-04-15 22:06:54,-5,T21R8,REALTIME
3059157,201,Jelitkowo,2022-04-15 22:06:49,109,T21R8,REALTIME
3066215,2062,Plac Solidarnoœci,2022-04-15 22:09:54,54,T21R8,REALTIME
3059157,2058,Helska,2022-04-15 22:09:13,133,T21R8,REALTIME
3059157,2056,Osiedle Wejhera,2022-04-15 22:11:53,173,T21R8,REALTIME
3059157,2100,Pomorska,2022-04-15 22:13:09,189,T21R8,REALTIME
3066215,2002,Dworzec G³ówny,2022-04-15 22:12:26,86,T21R8,REALTIME
3059157,2098,Piastowska,2022-04-15 22:14:08,188,T21R8,REALTIME
3059157,2096,Czerwony Dwór,2022-04-15 22:15:42,162,T21R8,REALTIME
3066215,2101,Brama Wy¿ynna,2022-04-15 22:15:41,101,T21R8,REALTIME
3059157,2094,Bora-Komorowskiego,2022-04-15 22:17:35,215,T21R8,REALTIME
3066215,2103,Okopowa,2022-04-15 22:17:59,119,T21R8,REALTIME
3059157,2092,Ko³obrzeska,2022-04-15 22:18:56,176,T21R8,REALTIME
3066215,2105,¯abi Kruk,2022-04-15 22:19:38,158,T21R8,REALTIME
